Date, Weight (g)
7/3/26 12:17 PM, 1883
7/3/26 2:20 PM, 1849
7/3/26 4:22 PM, 1821
7/3/26 6:25 PM, 1795
7/3/26 8:14 PM, 1777
7/3/26 10:17 PM, 1755
7/4/26 12:09 AM, 1743
7/4/26 7:54 AM, 1737
7/4/26 9:56 AM, 1728
7/4/26 11:59 AM, 1715
7/4/26 2:04 PM, 1701
7/4/26 4:26 PM, 1687
7/4/26 6:30 PM, 1678
7/4/26 8:35 PM, 1671
7/4/26 8:49 PM, 1672
7/5/26 12:03 AM, 1660
7/5/26 7:08 AM, 1635
7/5/26 9:41 AM, 1627
7/5/26 11:50 AM, 1621
7/5/26 2:07 PM, 1617
7/5/26 4:27 PM, 1609
7/5/26 6:44 PM, 1606
7/5/26 10:11 PM, 1595
7/6/26 12:12 AM, 1590
7/6/26 6:45 AM, 1571
